id,brand,model,year,generation,trim,body_type,fuel_type,horsepower,torque_nm,fuel_consumption_l100km,km_per_liter,seating_capacity,boot_space_liters,base_price_lkr,base_price_usd,annual_maintenance_lkr,annual_maintenance_usd,reliability_score,comfort_score,performance_score,sl_resale_tier,image_url
suzuki-wagonr-2020,Suzuki,Wagon R,2020,MH55S,FZ Hybrid,Hatchback,Hybrid,52,63,4.2,23.8,4,360,6800000.0,22500.0,120000,400,94,76,58,High,/images/vehicles/suzuki-wagonr-2020.jpg
suzuki-swift-2019,Suzuki,Swift,2019,ZC13S,RS Turbo,Hatchback,Petrol,102,150,5.5,18.2,5,380,7900000.0,26000.0,140000,460,92,79,74,High,/images/vehicles/suzuki-swift-2019.jpg
toyota-aqua-2018,Toyota,Aqua,2018,NHP10,S Edition Hybrid,Hatchback,Hybrid,99,111,4.0,25.0,5,400,8400000.0,27500.0,130000,430,96,80,68,High,/images/vehicles/toyota-aqua-2018.jpg
toyota-vitz-2019,Toyota,Vitz,2019,KSP130,Safety Edition II,Hatchback,Petrol,69,92,5.1,19.6,5,390,7600000.0,25000.0,125000,410,95,78,60,High,/images/vehicles/toyota-vitz-2019.jpg
toyota-raize-2021,Toyota,Raize,2021,A200A,Z Grade 1.0 Turbo,SUV,Petrol,98,140,5.5,18.2,5,440,11500000.0,38000.0,160000,520,93,82,72,High,/images/vehicles/toyota-raize-2021.jpg
honda-vezel-2021,Honda,Vezel,2021,RV3,e:HEV Z Crossover,SUV,Hybrid,129,253,4.5,22.2,5,510,14800000.0,48500.0,180000,590,91,87,76,High,/images/vehicles/honda-vezel-2021.jpg
toyota-premio-2018,Toyota,Premio,2018,NZT260,1.5 F Superior,Sedan,Petrol,109,141,6.0,16.7,5,490,16500000.0,54000.0,150000,490,97,88,70,High,/images/vehicles/toyota-premio-2018.jpg
toyota-allion-2018,Toyota,Allion,2018,NZT260,1.5 G Plus,Sedan,Petrol,109,141,6.0,16.7,5,490,15800000.0,52000.0,150000,490,96,87,70,High,/images/vehicles/toyota-allion-2018.jpg
honda-grace-2019,Honda,Grace,2019,GM4,EX Hybrid,Sedan,Hybrid,137,170,4.3,23.3,5,430,10800000.0,35500.0,170000,560,90,84,75,Moderate,/images/vehicles/honda-grace-2019.jpg
toyota-chr-2019,Toyota,C-HR,2019,ZYX10,G LED Hybrid,SUV,Hybrid,122,142,4.9,20.4,5,440,13500000.0,44000.0,175000,570,92,85,73,High,/images/vehicles/toyota-chr-2019.jpg
byd-atto3-2024,BYD,Atto 3,2024,EV,Extended Range Ultra,SUV,Electric,201,310,0.0,30.0,5,440,13800000.0,45000.0,90000,295,91,89,82,Moderate,/images/vehicles/byd-atto3-2024.jpg
byd-seal-2024,BYD,Seal,2024,EV,AWD Performance,Sedan,Electric,523,670,0.0,28.0,5,400,17500000.0,57000.0,110000,360,90,92,96,Moderate,/images/vehicles/byd-seal-2024.jpg
bmw-3-2018,BMW,3 Series,2018,F30 LCI,318i Sport Line,Sedan,Petrol,136,220,6.6,15.2,5,480,21500000.0,70500.0,380000,1250,82,85,78,European,/images/vehicles/bmw-3-2018.jpg
bmw-3-2021,BMW,3 Series,2021,G20,320i M Sport,Sedan,Petrol,184,300,6.3,15.9,5,480,34000000.0,111000.0,420000,1380,85,89,86,European,/images/vehicles/bmw-3-2021.jpg
bmw-3-2024,BMW,3 Series,2024,G20 LCI,330e Plug-in M Sport,Sedan,Plug-in Hybrid,292,420,2.6,38.5,5,375,39500000.0,129000.0,450000,1470,87,91,89,European,/images/vehicles/bmw-3-2024.jpg
bmw-m340i-2024,BMW,3 Series,2024,G20 LCI,M340i xDrive,Sedan,Mild-Hybrid,382,500,7.8,12.8,5,480,54000000.0,177000.0,580000,1900,86,88,97,European,/images/vehicles/bmw-m340i-2024.jpg
bmw-x3-2022,BMW,X3,2022,G01 LCI,xDrive30i M Sport,SUV,Petrol,248,350,7.9,12.7,5,550,44000000.0,144000.0,450000,1470,85,90,84,European,/images/vehicles/bmw-x3-2022.jpg
bmw-x5-2024,BMW,X5,2024,G05 LCI,xDrive40i M Sport,SUV,Mild-Hybrid,375,520,8.7,11.5,5,650,76000000.0,249000.0,650000,2130,87,95,90,European,/images/vehicles/bmw-x5-2024.jpg
mb-c-2018,Mercedes-Benz,C-Class,2018,W205,C 180 Avantgarde,Sedan,Petrol,156,250,6.5,15.4,5,455,24500000.0,80000.0,390000,1280,83,88,77,European,/images/vehicles/mb-c-2018.jpg
mb-c-2022,Mercedes-Benz,C-Class,2022,W206,C 200 AMG Line,Sedan,Mild-Hybrid,204,300,6.4,15.6,5,455,38000000.0,124000.0,440000,1440,86,92,85,European,/images/vehicles/mb-c-2022.jpg
